;food1;food2;amount
2966;braised halibut fillets in coconut and lemongrass with smoked eggplant and tomato ginger chutney;ricotta gnudi with wild mushroom and truffle sauce;0.211592
2967;dashi;broiled steak with horseradish cream;0.211601
2968;onion paneer paratha;champagne sabayon on top of milk chocolate sauce and fresh berries;0.211604
2969;perfect baked poutine;sue s killer martini;0.211609
2970;mushroom, radicchio, and smoked mozzarella lasagne;geoduck papaya ceviche;0.211613
2971;southwest summer salad;turkey shawarma with crunchy vegetables;0.211617
2972;indian peanut stew;korean chicken wings;0.211618
2973;beer battered onion rings;vermicelli with sauce alla sofia;0.211625
2974;japanese dressing;candied root vegetables;0.211631
2975;challah ii;easy chicken enchiladas;0.211632
2976;creamy parmesan polenta;sweet and sour shrimp;0.21164
2977;rum caramel cake;four-pasta beef bake;0.21164
2978;mutter tamatar;mutter dhingri;0.21164
2979;oven roasted turkey with sage butter;candied root vegetables;0.211647
2980;kent s bbq cornbread;beer battered onion rings;0.211649
2981;cinnamon-almond cookies;southwest cheese grits;0.211651
2982;stilton walnut tarts;healthy turkey tex mex chili;0.21166
2983;warm tortilla chips with spicy cheese dip;bacon-wilted greens with warm pecan-crusted goat cheese;0.211663
2984;warm berry and mango gratin in mascarpone chantilly;stilton walnut tarts;0.211669
2985;classic tiramisu with chocolate;yogurt garlic sauce;0.211673
2986;creamy parmesan polenta;ginger pumpkin tart;0.211675
2987;jain potato stew;caramelized flan from pinhao;0.211682
2988;candied root vegetables;mexican style shredded pork;0.211682
2989;classic tiramisu with chocolate;authentic polish pickle soup (zupa orgorkowa);0.211685
2990;chef julian s smoked tuna tacos;bouillabaise;0.211702
2991;the peacemaker: golden fried oyster and shrimp po-boy with hot sauce-infused mayonnaise, lettuce, and tomato;teriyaki chicken wings;0.211706
2992;passover chocolate walnut cookies;zucchini pasta bake;0.211708
2993;quick chicken fajitas;white kimchi;0.211708
2994;finikia;spiced waffles with caramelized apples;0.21171
2995;crostini with white beans and basil-marinated shrimp;danish peppernut christmas cookies (pebernodder);0.211718
2996;beer battered onion rings;tempura shrimp;0.211726
2997;noodle pancakes with caraway;chocolate-whiskey truffles souffles with caramel sauce;0.211728
2998;erin s pico de gallo;finikia;0.21173
2999;southern italian thanksgiving stuffing;white bean and artichoke dip;0.21173
3000;homemade tortelli stuffed with stewed oxtail;coconut milk and rose custard;0.211731
3001;rum caramel cake;tomato pesto;0.211737
3002;moroccan chicken stew;sweet and sour shrimp;0.211738
3003;quick chicken fajitas;green herb dip;0.211738
3004;freak n good ribs;pulled pork chilaquiles;0.211745
3005;saltado de vainitas (peruvian green beans with chicken);the most incredible garlic bread;0.211746
3006;moroccan chicken stew;stella s stellar apple spice cake;0.211759
3007;jain potato stew;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;0.21176
3008;nectarine-raspberry crisp with spiced-oatmeal crumb topping;16-minute greek feast to go;0.21176
3009;passover chocolate walnut cookies;mooli dhania parathas;0.211766
3010;grilled tri-tip with oregon herb rub;sue s killer martini;0.211772
3011;almond, chocolate, and pistachio spumoni;campechana extra (mexican seafood cocktail);0.211775
3012;middle eastern grilled chicken pita sandwiches with yogurt mint sauce;finikia;0.211778
3013;roasted pumpkin soup;central american tacos;0.211792
3014;creamy parmesan polenta;mooli dhania parathas;0.2118
3015;freak n good ribs;neelys  cheesy chicken parmesan;0.211803
3016;chai tea ice cream;stilton walnut tarts;0.211807
3017;crostini with white beans and basil-marinated shrimp;lemon parsley bruschetta;0.211809
3018;freak n good ribs;roasted asparagus soup with sun-dried tomatoes and parmesan croutons;0.211816
3019;crostini with white beans and basil-marinated shrimp;blubaugh s blueberry buckle shortcake;0.211821
3020;bitter melon stir-fry;rum caramel cake;0.211821
3021;cumin potatoes;ricotta gnudi with wild mushroom and truffle sauce;0.211824
3022;jini dosa;turkey shawarma with crunchy vegetables;0.211825
3023;bee sting cake (bienenstich) ii;spicy mexican torte;0.211829
3024;spicy mexican torte;greek couscous;0.211832
3025;ham hocks with navy beans;rajasthani bati;0.211832
3026;spicy crab boil bbq chicken with cajun barbeque sauce;papaya poached in cinnamon-lime syrup;0.211838
3027;inwood hamburgers;laura s maryland crab cakes;0.211839
3028;dulce de leche half-moons;rum caramel cake;0.211842
3029;turkey shawarma with crunchy vegetables;sloppy joes;0.211849
3030;african chicken in spicy red sauce;chicken annie style;0.21185
3031;batman s best caesar dressing;moroccan chicken stew;0.211866
3032;beer battered onion rings;risotto with spicy sausage;0.211868
3033;serrano ham and manchego croquettas;rajma masaledar;0.21187
3034;saltado de vainitas (peruvian green beans with chicken);vegetable beef minestrone;0.21188
3035;chocolate mousse: mousse au chocolat;mutter dhingri;0.21189
3036;finikia;hawaiian burger;0.211894
3037;moroccan chicken stew;lemon parsley bruschetta;0.211899
3038;16-minute greek feast to go;"southwest ""chili"" burgers with avocado crema and lime-marinated slaw";0.2119
3039;rum caramel cake;lima beans and pork chops;0.211901
3040;rum caramel cake;fanny s italian casserole;0.211905
3041;16-minute greek feast to go;neelys  cheesy chicken parmesan;0.211907
3042;candied root vegetables;cornmeal crepes with ricotta and ham;0.21191
3043;papaya poached in cinnamon-lime syrup;cheese and pecan pasta salad;0.211911
3044;perfect fried green tomatoes;savory polenta;0.211911
3045;winter blossom s often requested ham salad;chicken wings with black-bean sauce;0.211912
3046;bacon-wilted greens with warm pecan-crusted goat cheese;homemade bagel chips with creamy garlic and vegetable spread;0.211922
3047;beer battered onion rings;pumpkin tacos;0.211928
3048;moroccan chicken stew;pineapple coconut zucchini bread;0.211929
3049;candied root vegetables;grillhaxe (grilled eisbein, pork shanks);0.211936
3050;anchovies in tomato sauce with pasta;Sorvete Chambinho Nestlé Pote 1l;0.21194
3051;beer braised bbq pork butt;teriyaki chicken wings;0.211945
3052;crab and avocado duet;beer battered onion rings;0.211952
3053;onion, tomato, and bell pepper citrus salsa;beer braised bbq pork butt;0.211954
3054;glazed pork chops with corn bread dressing;chicken wings with black-bean sauce;0.21196
3055;roasted pumpkin soup;pasta with pecorino and pepper;0.211961
3056;classic tiramisu with chocolate;man of the moment;0.21197
3057;warm thanksgiving salad of clams, mussels, and mushrooms;stilton walnut tarts;0.211974
3058;cajun red beans;mushroom turnovers;0.211985
3059;chocolate ganache glaze;marbleized brownies;0.211988
3060;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;brussels sprouts with white beans and pecorino;0.211988
3061;miss dixie s remoulade;pan-fried chicken with spinach and pine nuts;0.211992
3062;grilled hawaiian chicken and pineapple sandwiches;crayfish or shrimp pasta;0.211998
3063;slow cooker lengua (beef tongue);cajun prime rib roast;0.211998
3064;biarritz rochers;broiled steak with horseradish cream;0.211999
3065;spicy sausage linguine;cabbage-potato soup;0.212002
3066;turkey shawarma with crunchy vegetables;hearty irish egg drop soup;0.212016
3067;papaya poached in cinnamon-lime syrup;bagna cauda dip with assorted vegetables;0.212024
3068;laura s maryland crab cakes;jerk marinade;0.212027
3069;hula girl cocktail;teriyaki chicken wings;0.212032
3070;geoduck clam chowder;bacon-wilted greens with warm pecan-crusted goat cheese;0.212033
3071;indonesian satay;moroccan chicken stew;0.212034
3072;beer battered onion rings;halo-halo (filipino mixed-fruit dessert);0.212034
3073;beer battered onion rings;coconut sambhar;0.212049
3074;pasta piselli;passover chocolate walnut cookies;0.212054
3075;candied root vegetables;amish sugar cookies;0.212055
3076;florida jambalaya;bouillabaise;0.212056
3077;toad in the hole iii;teriyaki chicken wings;0.212066
3078;pasta with shrimp, oysters, and crabmeat;onion, tomato, and bell pepper citrus salsa;0.212069
3079;north carolina-style bbq pulled-pork sandwiches;classic tiramisu with chocolate;0.212069
3080;candied root vegetables;italian chicken soup;0.212072
3081;roasted pumpkin soup;middle eastern-style marzipan;0.212077
3082;hari chutney;bacon-wilted greens with warm pecan-crusted goat cheese;0.212077
3083;italian vegetable lentil soup;mutter dhingri;0.212079
3084;homemade tortelli stuffed with stewed oxtail;feta-and-cauliflower frittata;0.212089
3085;inwood hamburgers;stilton walnut tarts;0.212091
3086;roasted pumpkin soup;szybka surowka z czerwonej kapusty (polish red cabbage slaw);0.212094
3087;puerto rican cabbage, avocado, and carrot salad;teriyaki chicken wings;0.212102
3088;candied root vegetables;lamb moussaka with currants;0.212107
3089;grilled mangoes with herbs;black bean cumin dip;0.212114
3090;bitter melon stir-fry;southwest cheese grits;0.212123
3091;corn bread dressing with ham, fennel, and carrots;spinach-artichoke ravioli-lasagna;0.212124
3092;finikia;pan de queso (brazilian cheese buns);0.21213
3093;southwestern corned beef quesadillas!;passover chocolate walnut cookies;0.212135
3094;spinach-artichoke ravioli-lasagna;wormy ice cubes - for witch s brew;0.212141
3095;almond puff pancakes;indian broccoli junka;0.212144
3096;hanoi turmeric grilled fish with dill and onion;potato corn chowder;0.212145
3097;chicken wings with black-bean sauce;salmon fillets with creamy dill;0.212156
3098;roasted portobello and prosciutto lasagna;bacon-wilted greens with warm pecan-crusted goat cheese;0.212162
3099;chocolate ganache glaze;ployes;0.212164
3100;shrimp cocktail;chocolate filled crepes covered with strawberry sauce;0.212164
3101;honey plums;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;0.212168
3102;cincinnati spaghetti;papaya poached in cinnamon-lime syrup;0.212173
3103;texas sauce;corn and bean medley;0.212175
3104;ricotta gnudi with wild mushroom and truffle sauce;butter garlic naan;0.212187
3105;cajun red beans;luscious lassi;0.21219
3106;balsamic strawberries with ricotta cream;classic tiramisu with chocolate;0.212194
3107;bacon-wilted greens with warm pecan-crusted goat cheese;sugar free rugelach;0.212195
3108;hanoi turmeric grilled fish with dill and onion;geoduck clam chowder;0.212199
3109;danish pastry braid;braised meat with butternut squash;0.212203
3110;roast beef tenderloin with wasabi-garlic cream;beer battered onion rings;0.212213
3111;chocolate bread pudding with walnuts and chocolate chips;best teriyaki sauce;0.212221
3112;sharkie s green sauce;ricotta gnudi with wild mushroom and truffle sauce;0.212223
3113;herb and chicken pasta;laura s maryland crab cakes;0.212223
3114;ginger-lemongrass portobello mushroom caps;dunbar macaroni with beef;0.212246
3115;crayfish or shrimp pasta;sarah s slow cooker chicken cacciatore;0.21225
3116;baccelli e pecorino: fava beans and pecorino;coconut milk and rose custard;0.212268
3117;broiled steak with horseradish cream;wormy ice cubes - for witch s brew;0.21228
3118;braised meat with butternut squash;makai patal bhaji;0.212284
3119;aunt barb s spaghetti pie;mutter dhingri;0.212295
3120;thanksgiving turkey with italian meat stuffing;orechiette with sausage, beans, and mascarpone;0.212296
3121;cheesy italian bread wedges;skyy vanilla white russian;0.212298
3122;capirotada;bacon-wilted greens with warm pecan-crusted goat cheese;0.212304
3123;cajun red beans;mutter tamatar;0.21232
3124;onion, tomato, and bell pepper citrus salsa;cranberry nut bread i;0.212324
3125;vegetarian haggis;spicy mexican torte;0.212328
3126;round 2 recipe - web - cinnamon roll french toast;yankee salad;0.212328
3127;moong soup;poha vadai;0.21233
3128;feta-and-cauliflower frittata;cheesy italian pull apart bread;0.212331
3129;grandmother s tart;lilva rice;0.212333
3130;round 2 recipe - web - cinnamon roll french toast;pan-fried chicken with spinach and pine nuts;0.212336
3131;antipasto di gamberi e avocado con maionese alla senape (prawn and avocado starter with mustard dip);chocolate filled crepes covered with strawberry sauce;0.212336
3132;ranch hands  grilled tri-tip;bacon-wilted greens with warm pecan-crusted goat cheese;0.212337
3133;hanoi turmeric grilled fish with dill and onion;chicken rollatina;0.212341
3134;japanese dressing;creamy parmesan polenta;0.212341
3135;spinach-artichoke ravioli-lasagna;triple orange angel food cake;0.212343
3136;freak n good ribs;cashew curry;0.212345
3137;creamy parmesan polenta;sweet corn pudding;0.212348
3138;candied root vegetables;pecan crusted chocolate truffle pie;0.212349
3139;honey plums;vegan arepas made with polenta;0.212353
3140;salmon pie;quick chicken fajitas;0.212359
3141;harvest focaccia;chicken wings with black-bean sauce;0.212365
3142;norwegian christmas cookies;beer battered onion rings;0.212368
3143;pasta with spinach pesto sauce;marbleized brownies;0.212368
3144;laura s maryland crab cakes;cafe con leche;0.212371
3145;16-minute greek feast to go;prune, orange, fennel, and red onion salad with mixed greens;0.212372
3146;freak n good ribs;crisp-skinned duck with mock mandarin pancakes;0.212376
3147;classic tiramisu with chocolate;bavarian style meatballs;0.212381
3148;rum caramel cake;winter blossom s often requested ham salad;0.212387
3149;freak n good ribs;sweet pickled daikon radish;0.21239
3150;duck with walnut sherry vinaigrette;mutter dhingri;0.212395
3151;rum caramel cake;lemon-herb mayonnaise;0.212395
3152;turkey shawarma with crunchy vegetables;egyptian meatballs;0.212399
3153;almond, chocolate, and pistachio spumoni;cranberry salad;0.2124
3154;maple-roasted bacon;bouillabaise;0.212408
3155;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;gobi pakora;0.212412
3156;spinach-artichoke ravioli-lasagna;tomato pepper sauce;0.212412
3157;ricotta gnudi with wild mushroom and truffle sauce;blubaugh s blueberry buckle shortcake;0.212413
3158;lilva rice;coconut milk and rose custard;0.212434
3159;teeny-weeny coxinha;noodle pancakes with caraway;0.212436
3160;braised meat with butternut squash;caramelized flan from pinhao;0.212454
3161;dashi;creamy parmesan polenta;0.212455
3162;paneer makhmali;cheesy italian bread wedges;0.212463
3163;inwood hamburgers;creamy parmesan polenta;0.212482
